"long","lat","order","hole","piece","group","id","x","y","UF"
-73.8050903767359,-7.1091280603668,1,FALSE,"1","1.1","1",-70.45933561,-9.27524971,"AC"
-70.3273224825236,-8.13871537480745,2,FALSE,"1","1.1","1",-70.45933561,-9.27524971,"AC"
-66.8064741301622,-9.81569471272214,3,FALSE,"1","1.1","1",-70.45933561,-9.27524971,"AC"
-66.5989046499896,-9.89759370364355,4,FALSE,"1","1.1","1",-70.45933561,-9.27524971,"AC"
-68.5414416719821,-11.1104787596702,5,FALSE,"1","1.1","1",-70.45933561,-9.27524971,"AC"
-70.6210528789942,-11.0012801051083,6,FALSE,"1","1.1","1",-70.45933561,-9.27524971,"AC"
-70.6053872578491,-9.48809874903648,7,FALSE,"1","1.1","1",-70.45933561,-9.27524971,"AC"
-71.243761319512,-10.0184922140514,8,FALSE,"1","1.1","1",-70.45933561,-9.27524971,"AC"
-72.1484509406415,-9.97559274261633,9,FALSE,"1","1.1","1",-70.45933561,-9.27524971,"AC"
-72.3599368261004,-9.42179956590962,10,FALSE,"1","1.1","1",-70.45933561,-9.27524971,"AC"
-73.1980475573633,-9.39839985421779,11,FALSE,"1","1.1","1",-70.45933561,-9.27524971,"AC"
-72.8925679450338,-9.05910403468621,12,FALSE,"1","1.1","1",-70.45933561,-9.27524971,"AC"
-73.4996107644065,-8.30251335665028,13,FALSE,"1","1.1","1",-70.45933561,-9.27524971,"AC"
-73.734595081583,-7.88131854619729,14,FALSE,"1","1.1","1",-70.45933561,-9.27524971,"AC"
-73.7385114868692,-7.7526201318922,15,FALSE,"1","1.1","1",-70.45933561,-9.27524971,"AC"
-73.9734958040458,-7.57712229420346,16,FALSE,"1","1.1","1",-70.45933561,-9.27524971,"AC"
-73.977412209332,-7.32752536949057,17,FALSE,"1","1.1","1",-70.45933561,-9.27524971,"AC"
-73.7855083503046,-7.32752536949057,18,FALSE,"1","1.1","1",-70.45933561,-9.27524971,"AC"
-73.8050903767359,-7.1091280603668,19,FALSE,"1","1.1","1",-70.45933561,-9.27524971,"AC"
-35.1188389589099,-8.87970624504882,1,FALSE,"1","2.1","2",-36.61112046,-9.50932141,"AL"
-35.3499068708002,-9.24630172822087,2,FALSE,"1","2.1","2",-36.61112046,-9.50932141,"AL"
-35.7415473994277,-9.68309634646842,3,FALSE,"1","2.1","2",-36.61112046,-9.50932141,"AL"
-36.0509434170434,-10.0847913971782,4,FALSE,"1","2.1","2",-36.61112046,-9.50932141,"AL"
-36.2976769500788,-10.2992887543534,5,FALSE,"1","2.1","2",-36.61112046,-9.50932141,"AL"
-36.2937605447925,-10.346088177737,6,FALSE,"1","2.1","2",-36.61112046,-9.50932141,"AL"
-36.3955870822357,-10.4942863517853,7,FALSE,"1","2.1","2",-36.61112046,-9.50932141,"AL"
-36.4504167562435,-10.400687505018,8,FALSE,"1","2.1","2",-36.61112046,-9.50932141,"AL"
-36.5639925095455,-10.4123873608639,9,FALSE,"1","2.1","2",-36.61112046,-9.50932141,"AL"
-36.5679089148318,-10.3226884660452,10,FALSE,"1","2.1","2",-36.61112046,-9.50932141,"AL"
-36.6384042099847,-10.2524893309697,11,FALSE,"1","2.1","2",-36.61112046,-9.50932141,"AL"
-36.6971502892788,-10.2836889465588,12,FALSE,"1","2.1","2",-36.61112046,-9.50932141,"AL"
-36.9478002276004,-10.0925913010755,13,FALSE,"1","2.1","2",-36.61112046,-9.50932141,"AL"
-36.955633038173,-10.0067923582054,14,FALSE,"1","2.1","2",-36.61112046,-9.50932141,"AL"
-37.9934804390359,-9.49979860488239,15,FALSE,"1","2.1","2",-36.61112046,-9.50932141,"AL"
-38.2245483509261,-9.32040081524501,16,FALSE,"1","2.1","2",-36.61112046,-9.50932141,"AL"
-37.7898273641496,-8.85240658140835,17,FALSE,"1","2.1","2",-36.61112046,-9.50932141,"AL"
-36.9478002276004,-9.38669999837187,18,FALSE,"1","2.1","2",-36.61112046,-9.50932141,"AL"
-36.8929705535926,-9.27360139186134,19,FALSE,"1","2.1","2",-36.61112046,-9.50932141,"AL"
