estate,year,value,honey
Paraná,2013,37439,5565435
Paraná,2014,41461,5688178
Paraná,2015,53178,6287264
Paraná,2016,67293,5993565
Paraná,2017,74618,5962813
Paraná,2018,84209,6307107
Paraná,2019,85116,7202539
Paraná,2020,99118,7890115
Paraná,2021,123683,8404843
Santa Catarina,1974,8785,1181759
Santa Catarina,1975,19813,1698292
Santa Catarina,1976,31708,2151042
Santa Catarina,1977,22769,1281915
Santa Catarina,1978,28577,1231256
Santa Catarina,1979,54338,1347635
Santa Catarina,1980,131409,1430219
Santa Catarina,1981,337984,1831466
Santa Catarina,1982,545674,1411227
Santa Catarina,1983,2972267,1829557
Santa Catarina,1984,9672868,3120126
Santa Catarina,1985,26433,2721339
Santa Catarina,1986,55769,3314916
Santa Catarina,1987,198169,3628360
Santa Catarina,1988,1813632,4172888
Santa Catarina,1989,36509,4478046
Santa Catarina,1990,471083,4043097
Santa Catarina,1991,2803115,5349653
Santa Catarina,1992,22836344,5093230
Santa Catarina,1993,655950,4824252
Santa Catarina,1994,4571,3992142
Santa Catarina,1995,9075,3837781
Santa Catarina,1996,9944,4261718
Santa Catarina,1997,8369,3431837
Santa Catarina,1998,9328,3474089
Santa Catarina,1999,7610,3344334
Santa Catarina,2000,11749,3983695
Santa Catarina,2001,11668,3774749
Santa Catarina,2002,15314,3828784
Santa Catarina,2003,22540,4511043
Santa Catarina,2004,19072,3600652
Santa Catarina,2005,18430,3925556
Santa Catarina,2006,18752,3990118
Santa Catarina,2007,15775,3470963
Santa Catarina,2008,17661,3706463
Santa Catarina,2009,20255,4514601
Santa Catarina,2010,21900,3965962
Santa Catarina,2011,22391,3990442
Santa Catarina,2012,27870,4388589
Santa Catarina,2013,30930,4886614
Santa Catarina,2014,36988,4783425
Santa Catarina,2015,28368,2869508
Santa Catarina,2016,62248,4869268
Santa Catarina,2017,57003,4200031
Santa Catarina,2018,48085,3753299
Santa Catarina,2019,48368,4080789
Santa Catarina,2020,54624,4296382
Santa Catarina,2021,67261,4573934
Rio Grande do Sul,1974,10513,1046481
Rio Grande do Sul,1975,20003,1538194
Rio Grande do Sul,1976,40839,1631695
Rio Grande do Sul,1977,42179,1638099
Rio Grande do Sul,1978,47899,1565757
Rio Grande do Sul,1979,71930,1399502
Rio Grande do Sul,1980,85321,980947
Rio Grande do Sul,1981,182907,969776
Rio Grande do Sul,1982,446619,1002499
Rio Grande do Sul,1983,1780305,1156687
Rio Grande do Sul,1984,5191919,1166216
Rio Grande do Sul,1985,20270,1728156
Rio Grande do Sul,1986,45396,2112302
Rio Grande do Sul,1987,153529,2179593
Rio Grande do Sul,1988,1365916,2388155
Rio Grande do Sul,1989,33615,3052510
Rio Grande do Sul,1990,575185,3275398
Rio Grande do Sul,1991,2660191,3435947
Rio Grande do Sul,1992,30924310,3833046
Rio Grande do Sul,1993,720405,3892251
Rio Grande do Sul,1994,6601,3195810
Rio Grande do Sul,1995,12920,3608363
Rio Grande do Sul,1996,23341,6154782
Rio Grande do Sul,1997,21205,5440110
Rio Grande do Sul,1998,22354,5716684
Rio Grande do Sul,1999,24598,5984766
Rio Grande do Sul,2000,24560,5815448
Rio Grande do Sul,2001,25730,6045420
Rio Grande do Sul,2002,26440,5604663
Rio Grande do Sul,2003,37363,6777865
Rio Grande do Sul,2004,43141,7317410
Rio Grande do Sul,2005,42578,7427944
Rio Grande do Sul,2006,44697,7819993
Rio Grande do Sul,2007,42072,7364965
Rio Grande do Sul,2008,43563,7418327
Rio Grande do Sul,2009,44099,7155221
Rio Grande do Sul,2010,45019,7098492
Rio Grande do Sul,2011,45833,6985275
Rio Grande do Sul,2012,47204,6774295
Rio Grande do Sul,2013,52084,7286381
Rio Grande do Sul,2014,49721,5991105
Rio Grande do Sul,2015,50611,4962356
Rio Grande do Sul,2016,81783,6283676
Rio Grande do Sul,2017,83785,6318021
Rio Grande do Sul,2018,83392,6428057
Rio Grande do Sul,2019,83355,6550138
Rio Grande do Sul,2020,105597,8205356
Rio Grande do Sul,2021,131492,9212224
Mato Grosso do Sul,1974,NA,NA
Mato Grosso do Sul,1975,NA,NA
Mato Grosso do Sul,1976,NA,NA
Mato Grosso do Sul,1977,NA,NA
Mato Grosso do Sul,1978,267,10890
Mato Grosso do Sul,1979,405,9500
Mato Grosso do Sul,1980,408,5449
Mato Grosso do Sul,1981,1398,4315
Mato Grosso do Sul,1982,1626,1896
Mato Grosso do Sul,1983,8180,4247
Mato Grosso do Sul,1984,80989,13905
Mato Grosso do Sul,1985,306,15440
Mato Grosso do Sul,1986,1374,33883
Mato Grosso do Sul,1987,5881,55078
Mato Grosso do Sul,1988,66542,80848
Mato Grosso do Sul,1989,4101,106568
Mato Grosso do Sul,1990,30585,126674
Mato Grosso do Sul,1991,174961,141479
Mato Grosso do Sul,1992,1746851,154109
Mato Grosso do Sul,1993,56917,189939
Mato Grosso do Sul,1994,592,216456
Mato Grosso do Sul,1995,715,207938
Mato Grosso do Sul,1996,874,215820
Mato Grosso do Sul,1997,1017,248097
Mato Grosso do Sul,1998,915,212034
Mato Grosso do Sul,1999,1198,280393
Mato Grosso do Sul,2000,1413,302786
Mato Grosso do Sul,2001,1775,340363
Mato Grosso do Sul,2002,1900,334428
Mato Grosso do Sul,2003,2551,407471
Mato Grosso do Sul,2004,2325,365589
Mato Grosso do Sul,2005,2809,450614
Mato Grosso do Sul,2006,3275,485325
Mato Grosso do Sul,2007,4924,641149
Mato Grosso do Sul,2008,4444,646222
Mato Grosso do Sul,2009,3104,430482
Mato Grosso do Sul,2010,3955,512417
Mato Grosso do Sul,2011,4673,686486
Mato Grosso do Sul,2012,5473,820961
Mato Grosso do Sul,2013,5690,769261
Mato Grosso do Sul,2014,6864,837099
Mato Grosso do Sul,2015,7310,785014
Mato Grosso do Sul,2016,8974,835328
Mato Grosso do Sul,2017,13924,1157465
Mato Grosso do Sul,2018,7932,714343
Mato Grosso do Sul,2019,9940,977724
Mato Grosso do Sul,2020,11395,968759
Mato Grosso do Sul,2021,12406,902961
Mato Grosso,1974,375,60709
Mato Grosso,1975,884,57459
Mato Grosso,1976,985,47684
Mato Grosso,1977,1074,37890
Mato Grosso,1978,72,1657
Mato Grosso,1979,190,1500
Mato Grosso,1980,91,500
Mato Grosso,1981,149,580
Mato Grosso,1982,4965,3453
Mato Grosso,1983,35947,11188
Mato Grosso,1984,119839,17198
Mato Grosso,1985,270,17656
Mato Grosso,1986,766,12690
Mato Grosso,1987,14925,110642
Mato Grosso,1988,131509,125288
Mato Grosso,1989,1168,147460
Mato Grosso,1990,38865,158078
Mato Grosso,1991,228284,180383
Mato Grosso,1992,1782073,162146
Mato Grosso,1993,120084,196675
Mato Grosso,1994,611,193340
Mato Grosso,1995,940,180525
Mato Grosso,1996,1336,215027
Mato Grosso,1997,1214,218671
Mato Grosso,1998,1402,214529
Mato Grosso,1999,1409,202012
Mato Grosso,2000,1404,191547
Mato Grosso,2001,1388,188188
Mato Grosso,2002,1382,174845
Mato Grosso,2003,1986,241112
Mato Grosso,2004,2633,300089
Mato Grosso,2005,3400,374786
Mato Grosso,2006,3704,365006
Mato Grosso,2007,3787,346339
Mato Grosso,2008,5088,493879
Mato Grosso,2009,3473,315021
Mato Grosso,2010,4068,428035
Mato Grosso,2011,3712,379281
Mato Grosso,2012,4834,405619
Mato Grosso,2013,5546,430960
Mato Grosso,2014,7038,470589
Mato Grosso,2015,8334,456753
Mato Grosso,2016,8787,413862
Mato Grosso,2017,9595,480949
Mato Grosso,2018,9830,466214
Mato Grosso,2019,10884,471636
Mato Grosso,2020,12973,536552
Mato Grosso,2021,14055,440216
Goiás,1974,38,4162
Goiás,1975,104,6862
Goiás,1976,153,7608
Goiás,1977,177,8700
Goiás,1978,230,9650
Goiás,1979,439,7300
Goiás,1980,980,9550
Goiás,1981,796,3050
Goiás,1982,2685,3100
Goiás,1983,61600,33510
Goiás,1984,254732,41600
Goiás,1985,1199,60176
Goiás,1986,4520,64113
Goiás,1987,12170,70512
Goiás,1988,89483,87824
Goiás,1989,3238,107894
Goiás,1990,46574,103260
Goiás,1991,115823,88858
Goiás,1992,2147594,98412
Goiás,1993,40259,101392
Goiás,1994,486,110555
Goiás,1995,832,126938
Goiás,1996,690,104258
Goiás,1997,756,108610
Goiás,1998,841,111484
Goiás,1999,926,117272
Goiás,2000,995,117371
Goiás,2001,1114,128222
Goiás,2002,1461,155133
Goiás,2003,1743,178845
Goiás,2004,2338,224616
Goiás,2005,2774,244580
Goiás,2006,3835,308005
Goiás,2007,4219,314530
Goiás,2008,3587,322010
Goiás,2009,4235,301335
Goiás,2010,4004,314867
Goiás,2011,4745,334440
Goiás,2012,4578,315019
Goiás,2013,4630,343683
Goiás,2014,5199,355197
Goiás,2015,5024,320860
Goiás,2016,8239,432722
Goiás,2017,7190,319212
Goiás,2018,7838,337655
Goiás,2019,7747,331178
Goiás,2020,8182,329167
Goiás,2021,9168,366191
Distrito Federal,1974,0,0
Distrito Federal,1975,0,0
Distrito Federal,1976,0,0
Distrito Federal,1977,0,0
Distrito Federal,1978,0,0
Distrito Federal,1979,0,0
Distrito Federal,1980,0,0
Distrito Federal,1981,0,0
Distrito Federal,1982,0,0
Distrito Federal,1983,0,0
Distrito Federal,1984,0,0
Distrito Federal,1985,0,0
Distrito Federal,1986,365,9126
Distrito Federal,1987,3290,18280
Distrito Federal,1988,6728,23200
Distrito Federal,1989,1155,21000
Distrito Federal,1990,4750,19000
Distrito Federal,1991,24690,21470
Distrito Federal,1992,77400,5160
Distrito Federal,1993,561,4714
Distrito Federal,1994,8,5340
Distrito Federal,1995,24,5900
Distrito Federal,1996,20,3520
Distrito Federal,1997,39,6480
Distrito Federal,1998,72,11620
Distrito Federal,1999,61,10240
Distrito Federal,2000,160,20000
Distrito Federal,2001,98,14060
Distrito Federal,2002,133,19060
Distrito Federal,2003,294,24500
Distrito Federal,2004,317,26430
Distrito Federal,2005,385,27479
Distrito Federal,2006,378,31478
Distrito Federal,2007,367,30605
Distrito Federal,2008,505,36084
Distrito Federal,2009,530,37860
Distrito Federal,2010,494,35265
Distrito Federal,2011,161,16050
Distrito Federal,2012,200,20000
Distrito Federal,2013,200,20000
Distrito Federal,2014,239,19950
Distrito Federal,2015,417,24558
Distrito Federal,2016,265,17660
Distrito Federal,2017,337,14325
Distrito Federal,2018,249,11069
Distrito Federal,2019,415,13826
Distrito Federal,2020,658,21944
Distrito Federal,2021,561,22423
NA,1974,NA,NA
NA,1975,NA,NA
NA,1976,NA,NA
NA,1977,NA,NA
NA,1978,NA,NA
NA,1979,NA,NA
NA,1980,NA,NA
NA,1981,NA,NA
NA,1982,NA,NA
NA,1983,NA,NA
NA,1984,NA,NA
NA,1985,NA,NA
NA,1986,NA,NA
NA,1987,NA,NA
NA,1988,NA,NA
NA,1989,NA,NA
NA,1990,NA,NA
NA,1991,NA,NA
NA,1992,NA,NA
NA,1993,NA,NA
NA,1994,NA,NA
NA,1995,NA,NA
NA,1996,NA,NA
NA,1997,NA,NA
NA,1998,NA,NA
NA,1999,NA,NA
NA,2000,NA,NA
NA,2001,NA,NA
NA,2002,NA,NA
NA,2003,NA,NA
NA,2004,NA,NA
NA,2005,NA,NA
NA,2006,NA,NA
NA,2007,NA,NA
NA,2008,NA,NA
NA,2009,NA,NA
NA,2010,NA,NA
NA,2011,NA,NA
NA,2012,NA,NA
NA,2013,NA,NA
NA,2014,NA,NA
NA,2015,NA,NA
NA,2016,NA,NA
NA,2017,NA,NA
NA,2018,NA,NA
NA,2019,NA,NA
NA,2020,NA,NA
NA,2021,NA,NA
